checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_1625_6,P-806192FE,Tie At_1625_6,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_2032,P-F2352C01,Rafter Front At_2032,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_2032,P-104E896B,Rafter Back At_2032,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_2032,P-B9CAFA13,Tie At_2032,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_2438_4,P-D49883F0,Rafter Front At_2438_4,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_2438_4,P-ED132890,Rafter Back At_2438_4,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_2438_4,P-1FBDAF2A,Tie At_2438_4,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.front.at_2844_8,P-B3421ABE,Rafter Front At_2844_8,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.rafter.back.at_2844_8,P-6A94708C,Rafter Back At_2844_8,"[38, 1411.8643932976238, 140]","[{'horizontal_run_mm': 1200.2, 'kind': 'plumb_cut', 'slope': 0.5}, {'frame': 'assembly', 'kind': 'birdsmouth', 'seat_mm': 89, 'seat_z_mm': 44.5, 'stock_seat_endpoints_mm': [[0.0, 19.90100499974813, 39.802009999496256], [0.0, 99.50502499874065, -7.93809462606987e-15]]}]",C26,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.tie.at_2844_8,P-CBB66D2E,Tie At_2844_8,"[38, 2438.4, 89]","[{'finished_length_mm': 2438.4, 'kind': 'square_cut'}]",C27,lumber.38x89
